DE Number,System DE Number,Data Element,Data Element Name Text,Necessity,Definition,Valid Values,File Segment Number,File Segment Name,Size,FLF Start Position,FLF Stop Position,Segment Key Field Identifier,Coding Requirements,file_name
CIP001,CIP.001.001,RECORD-ID,Record ID,Mandatory,"The Record ID represents the type of segment being reported. The Record ID communicates how the contents of a given row of data should be interpreted depending on which segment type the Record ID represents. Each type of segment collects different data elements so each segment type has a distinct layout. The first 3 characters identify the relevant file (e.g., ELG, PRV, CIP, etc.). The last 5 digits are the segment identifier padded with leading zeros (e.g., 00001, 00002, 00003, etc.).",CIP001 Values,CIP00001,FILE-HEADER-RECORD-IP,X(8),1,8,Not Applicable,"1. Value must be 8 characters
2. Mandatory
3. Value must be in Record ID List (VVL)
4. Value must equal ""CIP00001""",CLAIMIP
CIP002,CIP.001.002,DATA-DICTIONARY-VERSION,Data Dictionary Version,Mandatory,A data element to capture the version of the T-MSIS data dictionary that was used to build the file.,CIP002 Values,CIP00001,FILE-HEADER-RECORD-IP,X(10),9,18,Not Applicable,"1. Value must be 10 characters or less
2. Value must be in Data Dictionary Version List (VVL)
3. Value must not include the pipe (""|"") symbol
4. Mandatory",CLAIMIP
CIP003,CIP.001.003,SUBMISSION-TRANSACTION-TYPE,Submission Transaction Type,Mandatory,"A data element to identify the whether the transactions in the file are original submissions of the data, a resubmission of a previously submitted file, or corrections of edit rejects.",CIP003 Values,CIP00001,FILE-HEADER-RECORD-IP,X(1),19,19,Not Applicable,"1. Value must be 1 character
2. Value must be in Submission Transaction Type List (VVL)
3. Mandatory",CLAIMIP
CIP004,CIP.001.004,FILE-ENCODING-SPECIFICATION,File Encoding Specification,Mandatory,Denotes which supported file encoding standard was used to create the file.,CIP004 Values,CIP00001,FILE-HEADER-RECORD-IP,X(3),20,22,Not Applicable,"1. Value must be 3 characters
2. Value must be in File Encoding Specification List (VVL)
3. Mandatory",CLAIMIP
CIP005,CIP.001.005,DATA-MAPPING-DOCUMENT-VERSION,Data Mapping Document Version,Mandatory,Identifies the version of the T-MSIS data mapping document used to build a state submission file.,,CIP00001,FILE-HEADER-RECORD-IP,X(9),23,31,Not Applicable,"1. Value must be 9 characters or less
2. Mandatory",CLAIMIP
CIP006,CIP.001.006,FILE-NAME,File Name,Mandatory,"A code to identify the subject area to which the records in its file relate. Each T-MSIS submission file should only contain records for one subject area (i.e., Eligible, Third-party liability, Provider, Managed Care Plan Information, Inpatient, Long-Term Care, Other, Pharmacy Claim, and Financial Transactions).",,CIP00001,FILE-HEADER-RECORD-IP,X(8),32,39,Not Applicable,"1. Value must equal ""CLAIM-IP""
2. Mandatory",CLAIMIP
CIP007,CIP.001.007,SUBMITTING-STATE,Submitting State,Mandatory,"A code that uniquely identifies the U.S. State or Territory from which T-MSIS system data resources were received.
",CIP007 Values,CIP00001,FILE-HEADER-RECORD-IP,X(2),40,41,Not Applicable,"1. Value must be 2 characters
2. Value must be in State Code List (VVL)
3. Mandatory
",CLAIMIP
CIP008,CIP.001.008,DATE-FILE-CREATED,Date File Created,Mandatory,The date on which the file was created.,,CIP00001,FILE-HEADER-RECORD-IP,9(8),42,49,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value of the CC component must be ""20""
3. Value must be less than current date
4. Value must be equal to or after the value of associated End of Time Period
5. Mandatory",CLAIMIP
CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period,Mandatory,"This value must be the first day of the reporting month, regardless of the actual date span of the data in the file.",,CIP00001,FILE-HEADER-RECORD-IP,9(8),50,57,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be equal to or earlier than associated Date File Created
3. Value must be before associated End of Time Period
4. Mandatory
5. Value of the CC component must be ""20""",CLAIMIP
CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period,Mandatory,"This value must be the last day of the reporting month, regardless of the actual date span.",,CIP00001,FILE-HEADER-RECORD-IP,9(8),58,65,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value of the CC component must be ""20""
3. Value must be equal to or earlier than associated Date File Created
4. Value must be equal to or after associated Start of Time Period
5. Mandatory",CLAIMIP
CIP011,CIP.001.011,FILE-STATUS-INDICATOR,File Status Indicator,Mandatory,A code to indicate whether the records in the file are test or production records.,CIP011 Values,CIP00001,FILE-HEADER-RECORD-IP,X(1),66,66,Not Applicable,"1. Value must be 1 character
2. For production files, value must be equal to ""P""
3. Value must be in File Status Indicator List (VVL)
4. Mandatory",CLAIMIP
CIP012,CIP.001.012,SSN-INDICATOR,SSN Indicator,Mandatory,"Indicates whether the state uses the eligible person's social security number instead of an MSIS Identification Number as the unique, unchanging eligible person identifier. A state's SSN/Non-SSN designation on the eligibility file should match on the claims and third party liability files.",CIP012 Values,CIP00001,FILE-HEADER-RECORD-IP,X(1),67,67,Not Applicable,"1. Value must be 1 character
2. Value must be in SSN Indicator List (VVL)
3. Mandatory",CLAIMIP
CIP013,CIP.001.013,TOT-REC-CNT,Total Record Count,Mandatory,A count of all records in the file except for the file header record. This count will be used as a control total to help assure that the file did not become corrupted during transmission.,,CIP00001,FILE-HEADER-RECORD-IP,9(11),68,78,Not Applicable,"1. Value must be 11 digits or less
2. Value must be a positive integer
3. Value must be between 0:99999999999 (inclusive)
4. Value must equal the number of records included in the file submission except for the file header record.
5. Mandatory",CLAIMIP
CIP275,CIP.001.275,SEQUENCE-NUMBER,Sequence Number,Mandatory,"To enable states to sequentially number files, when related, follow-on files are necessary (i.e. update files, replace files). This should begin with 1 for the original Create submission type and be incremented by one for each Replacement or Update submission for the same reporting period and file type (subject area).",,CIP00001,FILE-HEADER-RECORD-IP,X(4),79,82,Not Applicable,"1. Value must be 4 characters or less
2. Value must be between 1 and 9999
3. Value must be equal to the largest of any prior values for the same reporting period and file type, plus 1 (i.e. incremented by 1)
4. Value must not contain a pipe symbol
5. Mandatory",CLAIMIP
CIP014,CIP.001.014,STATE-NOTATION,State Notation,Situational,A free text field for the submitting state to enter whatever information it chooses.,,CIP00001,FILE-HEADER-RECORD-IP,X(500),83,582,Not Applicable,"1. Value must be 500 characters or less
2. Value must not contain a pipe or asterisk symbols
3. Situational",CLAIMIP
CIP016,CIP.002.016,RECORD-ID,Record ID,Mandatory,"The Record ID represents the type of segment being reported. The Record ID communicates how the contents of a given row of data should be interpreted depending on which segment type the Record ID represents. Each type of segment collects different data elements so each segment type has a distinct layout. The first 3 characters identify the relevant file (e.g., ELG, PRV, CIP, etc.). The last 5 digits are the segment identifier padded with leading zeros (e.g., 00001, 00002, 00003, etc.).",CIP016 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(8),1,8,Not Applicable,"1. Value must be 8 characters
2. Mandatory
3. Value must be in Record ID List (VVL)
4. Value must equal ""CIP00002""",CLAIMIP
CIP017,CIP.002.017,SUBMITTING-STATE,Submitting State,Mandatory,"A code that uniquely identifies the U.S. State or Territory from which T-MSIS system data resources were received.
",CIP017 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),9,10,1,"1. Value must be 2 characters
2. Value must be in State Code List (VVL)
3. Mandatory
4. Value must be the same as Submitting State (CIP.001.007)
",CLAIMIP
CIP018,CIP.002.018,RECORD-NUMBER,Record Number,Mandatory,"A sequential number assigned by the submitter to identify each record segment row in the submission file. The Record Number, in conjunction with the Record Identifier, uniquely identifies a single record within the submission file.",,CIP00002,CLAIM-HEADER-RECORD-IP,9(11),11,21,Not Applicable,"1. Value must be 11 digits or less
2. Value must be unique within record segment over all records associated with a given Record ID
3. Mandatory",CLAIMIP
CIP019,CIP.002.019,ICN-ORIG,Original ICN,Mandatory,A unique number assigned by the state's payment system that identifies an original or adjustment claim.,,CIP00002,CLAIM-HEADER-RECORD-IP,X(50),22,71,2,"1. Value must be 50 characters or less
2. Value must not contain a pipe or asterisk symbols
3. Mandatory",CLAIMIP
CIP020,CIP.002.020,ICN-ADJ,Adjustment ICN,Conditional,A unique claim number assigned by the state's payment system that identifies the adjustment claim for an original transaction.,,CIP00002,CLAIM-HEADER-RECORD-IP,X(50),72,121,3,"1. Value must be 50 characters or less
2. Value must not contain a pipe or asterisk symbols
3. If associated Adjustment Indicator value equals ""0"", then value must not be populated
4. Conditional
5. If associated Adjustment Indicator value is in [4,1], then value must be populated",CLAIMIP
CIP021,CIP.002.021,SUBMITTER-ID,Submitter ID,Mandatory,The Submitter Identification number is the value that identifies the provider/trading partner/clearing house organization to the state's claim adjudication system.,,CIP00002,CLAIM-HEADER-RECORD-IP,X(12),122,133,Not Applicable,"1. Value must be 12 characters or less
2. Mandatory",CLAIMIP
CIP022,CIP.002.022,MSIS-IDENTIFICATION-NUM,MSIS Identification Number,Mandatory,"A state-assigned unique identification number used to identify a Medicaid/CHIP enrolled individual. Value may be an SSN, temporary SSN or State-assigned eligible individual identifier. MSIS Identification Numbers are a unique ""key"" value used to maintain referential integrity of data distributed over multiples files, segments and reporting periods. See T-MSIS Guidance Document, ""CMS Guidance: Reporting Shared MSIS Identification Numbers"" for information on reporting the MSIS Identification Numbers ID for pregnant women, unborn children, mothers, and their deemed newborns younger than 1 year of age who share the same MSIS Identification Number.
https://www.medicaid.gov/tmsis/dataguide/t-msis-coding-blog/reporting-shared-msis-identification-numbers-eligibility/",,CIP00002,CLAIM-HEADER-RECORD-IP,X(20),134,153,Not Applicable,"1. Value must be 20 characters or less
2. Mandatory
3. Value must match MSIS Identification Number (ELG.021.251) and the Admission Date (CIP.002.094) must be between Enrollment Effective Date (ELG.021.253) and Enrollment End Date (ELG.021.254)
4. Value must not contain Ampersand symbol",CLAIMIP
CIP023,CIP.002.023,CROSSOVER-INDICATOR,Crossover Indicator,Mandatory,An indicator specifying whether the claim is a crossover claim where a portion is paid by Medicare.,CIP023 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(1),154,154,Not Applicable,"1. Value must be 1 character
2. Value must be in Crossover Indicator List (VVL)
3. If Crossover Indicator value equals ""1"", then associated Dual Eligible Code (ELG.005.085) value must be in [01,02,04,08,09,10] for the same time period (by date of service)
4. Mandatory",CLAIMIP
CIP024,CIP.002.024,TYPE-OF-HOSPITAL,Type of Hospital,Mandatory,This code denotes the type of hospital on the claim (servicing facility).,CIP024 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),155,156,Not Applicable,"1. Value must be 2 characters
2. Value must be in Type of Hospital List (VVL)
3. Mandatory",CLAIMIP
CIP025,CIP.002.025,1115A-DEMONSTRATION-IND,1115A Demonstration Indicator,Situational,"In the claims files this data element indicates whether the claim or encounter was covered under the authority of an 1115A demonstration. In the Eligibility file, this data element indicates whether the individual participates in an 1115A demonstration.",CIP025 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(1),157,157,Not Applicable,"1. Value must be 1 character
2. Value must be in 1115A Demonstration Indicator List (VVL)
3. Situational
4. When value equals ""0"", is invalid or not populated, then the associated 1115A Demonstration Indicator (ELG.018.233) must equal ""0"", is invalid or not populated",CLAIMIP
CIP026,CIP.002.026,ADJUSTMENT-IND,Adjustment Indicator,Mandatory,Indicates the type of adjustment record.,CIP026 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(1),158,158,4,"1. Value must be 1 character
2. Value must be in Adjustment Indicator List (VVL)
3. Value must be in [0,1,4]
4. Mandatory
5. If value equals ""0"", then associated Adjustment ICN must not be populated
6. Value must equal ""1"", when associated Claim Status equals ""686""",CLAIMIP
CIP027,CIP.002.027,ADJUSTMENT-REASON-CODE,Adjustment Reason Code,Conditional,"Claim adjustment reason codes communicate why a claim was paid differently than it was billed.
",CIP027 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(3),159,161,Not Applicable,"1. Value must be 3 characters or less
2. Value must be in Adjustment Reason Code List (VVL)
3. Conditional
4. Value must be populated when the total paid amount is different from the total billed amount
",CLAIMIP
CIP028,CIP.002.028,ADMISSION-TYPE,Admission Type,Mandatory,The basic types of admission for Inpatient hospital stays and a code indicating the priority of this admission.,CIP028 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(1),162,162,Not Applicable,"1. Value must be 1 character
2. Value must be in Admission Type List (VVL)
3. Mandatory",CLAIMIP
CIP029,CIP.002.029,DRG-DESCRIPTION,DRG Description,Situational,"Description of the associated state-specific DRG code. If using standard MS-DRG classification system, leave blank.",,CIP00002,CLAIM-HEADER-RECORD-IP,X(20),163,182,Not Applicable,"1. Value must be 20 characters or less
2. Situational",CLAIMIP
CIP068,CIP.002.068,DIAGNOSIS-RELATED-GROUP,Diagnosis Related Group,Situational,A code representing the Diagnosis Related Group (DRG) that is applicable for the inpatient services being rendered. This field is required on FFS claims and encounters records in which diagnosis related groups are used to determine paid amounts.,,CIP00002,CLAIM-HEADER-RECORD-IP,X(4),183,186,Not Applicable,"1. Value must be 4 characters or less
2. Situational",CLAIMIP
CIP069,CIP.002.069,DIAGNOSIS-RELATED-GROUP-IND,Diagnosis Related Group Indicator,Conditional,"An indicator identifying the grouping algorithm used to assign Diagnosis Related Group (DRG) values.Values are generated by combining two types of information: Position 1-2, State/Group generating DRG: If state specific system, fill with two digit US postal code representation for state. If CMS Grouper, fill with 'HG'. If any other system, fill with 'XX'. Position 3-4, fill with the number that represents the DRG version used (01-98). For example, 'HG15' would represent CMS Grouper version 15. If version is unknown, fill with '99'.",,CIP00002,CLAIM-HEADER-RECORD-IP,X(4),187,190,Not Applicable,"1. Value must be 4 characters or less
2. The right-most 2 positions must be found in [01-99]
3. Conditional
4. Value must be populated, when associated Diagnosis Related Group (CIP.002.068) is populated",CLAIMIP
CIP070,CIP.002.070,PROCEDURE-CODE-1,Procedure Code 1,Situational,"A procedure code based on ICD-9 and ICD-10 used by the state to identify the procedures performed during the hospital stay referenced by this claim. The principal procedure and related info should be recorded in Procedure Code1, Procedure Code Date-1, and Procedure Code Flag 1. The principal procedure is performed for definitive treatment rather than for diagnostic or exploratory purposes. It is closely related to either the principal diagnosis or to complications that arise during other treatments. Use Procedure Code 2 through Procedure Code 6 (and related data elements) to record secondary, tertiary, etc. procedures.
",CIP070 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(8),191,198,Not Applicable,"1. Value must be 8 characters or less
2. When populated, there must be a corresponding Procedure Code Flag
3. If associated Procedure Code Flag value indicates an ICD-9-CM encoding ""02"", then value must be a valid ICD-9-CM procedure code
4. If associated Procedure Code Flag value indicates an ICD-10-CM encoding ""07"", then value must be a valid ICD-10-CM procedure code
5. If associated Procedure Code Flag value indicates an ""Other"" encoding ""10-87"", then State must provide T-MSIS system with State-specific procedure code list, and value must be a valid State-specific procedure code
6. Value must be in Procedure Code List (VVL)
7. Situational
",CLAIMIP
CIP072,CIP.002.072,PROCEDURE-CODE-FLAG-1,Procedure Code Flag 1,Conditional,A flag that identifies the coding system used for an associated procedure code.,CIP072 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),199,200,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Flag List (VVL)
3. Conditional
4. When populated, there must be a corresponding Procedure Code
5. If Procedure Code 1 (CIP.002.070) is populated, Procedure Code Flag 1 (CIP.002.072) must be ""02"" (ICD-9 CM) or ""07"" (ICD-10 - CM PCS)",CLAIMIP
CIP073,CIP.002.073,PROCEDURE-CODE-DATE-1,Procedure Code Date 1,Situational,The date upon which a reported medical procedure was performed.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),201,208,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be on or before associated Discharge Date value
3. Value must be provided with an associated Procedure Code value
4. Value must be on or after associated Beginning Date of Service value
5. Value must be on or before associated Eligible Date of Death value
6. Value must be not be populated when associated Procedure Code is not populated
7. Situational",CLAIMIP
CIP074,CIP.002.074,PROCEDURE-CODE-2,Procedure Code 2,Situational,"A procedure code based on ICD-9 and ICD-10 used by the state to identify the procedures performed during the hospital stay referenced by this claim. The principal procedure and related info should be recorded in Procedure Code 1, Procedure Code 1, and Procedure Code Flag 1. The principal procedure is performed for definitive treatment rather than for diagnostic or exploratory purposes. It is closely related to either the principal diagnosis or to complications that arise during other treatments. Use Procedure Code 2 through Procedure Code 6 (and related data elements) to record secondary, tertiary, etc. procedures.
",CIP074 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(8),209,216,Not Applicable,"1. Value must be 8 characters or less
2. When populated, there must be a corresponding Procedure Code Flag
3. If associated Procedure Code Flag value indicates an ICD-9-CM encoding ""02"", then value must be a valid ICD-9-CM procedure code
4. If associated Procedure Code Flag value indicates an ICD-10-CM encoding ""07"", then value must be a valid ICD-10-CM procedure code
5. If associated Procedure Code Flag value indicates an ""Other"" encoding ""10-87"", then State must provide T-MSIS system with State-specific procedure code list, and value must be a valid State-specific procedure code
6. Value must be in Procedure Code List (VVL)
7. Situational
",CLAIMIP
CIP076,CIP.002.076,PROCEDURE-CODE-FLAG-2,Procedure Code Flag 2,Situational,A flag that identifies the coding system used for an associated procedure code.,CIP076 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),217,218,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Flag List (VVL)
3. Situational
4. When populated, there must be a corresponding Procedure Code",CLAIMIP
CIP077,CIP.002.077,PROCEDURE-CODE-DATE-2,Procedure Code Date 2,Situational,The date upon which a reported medical procedure was performed.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),219,226,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be on or before associated Discharge Date value
3. Value must be provided with an associated Procedure Code value
4. Value must be on or after associated Beginning Date of Service value
5. Value must be on or before associated Eligible Date of Death value
6. Value must be not be populated when associated Procedure Code is not populated
7. Situational",CLAIMIP
CIP078,CIP.002.078,PROCEDURE-CODE-3,Procedure Code 3,Situational,"A procedure code based on ICD-9 and ICD-10 used by the state to identify the procedures performed during the hospital stay referenced by this claim. The principal procedure and related info should be recorded in Procedure Code 1, Procedure Code Date 1, and Procedure Code Flag 1. The principal procedure is performed for definitive treatment rather than for diagnostic or exploratory purposes. It is closely related to either the principal diagnosis or to complications that arise during other treatments. Use Procedure Code 2 through Procedure Code 6 (and related data elements) to record secondary, tertiary, etc. procedures.
",CIP078 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(8),227,234,Not Applicable,"1. Value must be 8 characters or less
2. When populated, there must be a corresponding Procedure Code Flag
3. If associated Procedure Code Flag value indicates an ICD-9-CM encoding ""02"", then value must be a valid ICD-9-CM procedure code
4. If associated Procedure Code Flag value indicates an ICD-10-CM encoding ""07"", then value must be a valid ICD-10-CM procedure code
5. If associated Procedure Code Flag value indicates an ""Other"" encoding ""10-87"", then State must provide T-MSIS system with State-specific procedure code list, and value must be a valid State-specific procedure code
6. Value must be in Procedure Code List (VVL)
7. Situational
",CLAIMIP
CIP080,CIP.002.080,PROCEDURE-CODE-FLAG-3,Procedure Code Flag 3,Situational,A flag that identifies the coding system used for an associated procedure code.,CIP080 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),235,236,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Flag List (VVL)
3. Situational
4. When populated, there must be a corresponding Procedure Code",CLAIMIP
CIP081,CIP.002.081,PROCEDURE-CODE-DATE-3,Procedure Code Date 3,Situational,The date upon which a reported medical procedure was performed.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),237,244,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be on or before associated Discharge Date value
3. Value must be provided with an associated Procedure Code value
4. Value must be on or after associated Beginning Date of Service value
5. Value must be on or before associated Eligible Date of Death value
6. Value must be not be populated when associated Procedure Code is not populated
7. Situational",CLAIMIP
CIP082,CIP.002.082,PROCEDURE-CODE-4,Procedure Code 4,Situational,"A procedure code based on ICD-9 and ICD-10 used by the state to identify the procedures performed during the hospital stay referenced by this claim. The principal procedure and related info should be recorded in Procedure Code 1, Procedure Code Date 1, and Procedure Code Flag 1. The principal procedure is performed for definitive treatment rather than for diagnostic or exploratory purposes. It is closely related to either the principal diagnosis or to complications that arise during other treatments. Use Procedure Code 2 through Procedure Code 6 (and related data elements) to record secondary, tertiary, etc. procedures.
",CIP082 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(8),245,252,Not Applicable,"1. Value must be 8 characters or less
2. When populated, there must be a corresponding Procedure Code Flag
3. If associated Procedure Code Flag value indicates an ICD-9-CM encoding ""02"", then value must be a valid ICD-9-CM procedure code
4. If associated Procedure Code Flag value indicates an ICD-10-CM encoding ""07"", then value must be a valid ICD-10-CM procedure code
5. If associated Procedure Code Flag value indicates an ""Other"" encoding ""10-87"", then State must provide T-MSIS system with State-specific procedure code list, and value must be a valid State-specific procedure code
6. Value must be in Procedure Code List (VVL)
7. Situational
",CLAIMIP
CIP084,CIP.002.084,PROCEDURE-CODE-FLAG-4,Procedure Code Flag 4,Situational,A flag that identifies the coding system used for an associated procedure code.,CIP084 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),253,254,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Flag List (VVL)
3. Situational
4. When populated, there must be a corresponding Procedure Code",CLAIMIP
CIP085,CIP.002.085,PROCEDURE-CODE-DATE-4,Procedure Code Date 4,Situational,The date upon which a reported medical procedure was performed.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),255,262,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be on or before associated Discharge Date value
3. Value must be provided with an associated Procedure Code value
4. Value must be on or after associated Beginning Date of Service value
5. Value must be on or before associated Eligible Date of Death value
6. Value must be not be populated when associated Procedure Code is not populated
7. Situational",CLAIMIP
CIP086,CIP.002.086,PROCEDURE-CODE-5,Procedure Code 5,Situational,"A procedure code based on ICD-9 and ICD-10 used by the state to identify the procedures performed during the hospital stay referenced by this claim. The principal procedure and related info should be recorded in Procedure Code 1, Procedure Code Date 1, and Procedure Code Flag 1. The principal procedure is performed for definitive treatment rather than for diagnostic or exploratory purposes. It is closely related to either the principal diagnosis or to complications that arise during other treatments. Use Procedure Code 2 through Procedure Code 6 (and related data elements) to record secondary, tertiary, etc. procedures.
",CIP086 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(8),263,270,Not Applicable,"1. Value must be 8 characters or less
2. When populated, there must be a corresponding Procedure Code Flag
3. If associated Procedure Code Flag value indicates an ICD-9-CM encoding ""02"", then value must be a valid ICD-9-CM procedure code
4. If associated Procedure Code Flag value indicates an ICD-10-CM encoding ""07"", then value must be a valid ICD-10-CM procedure code
5. If associated Procedure Code Flag value indicates an ""Other"" encoding ""10-87"", then State must provide T-MSIS system with State-specific procedure code list, and value must be a valid State-specific procedure code
6. Value must be in Procedure Code List (VVL)
7. Situational
",CLAIMIP
CIP088,CIP.002.088,PROCEDURE-CODE-FLAG-5,Procedure Code Flag 5,Situational,A flag that identifies the coding system used for an associated procedure code.,CIP088 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),271,272,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Flag List (VVL)
3. Situational
4. When populated, there must be a corresponding Procedure Code",CLAIMIP
CIP089,CIP.002.089,PROCEDURE-CODE-DATE-5,Procedure Code Date 5,Situational,The date upon which a reported medical procedure was performed.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),273,280,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be on or before associated Discharge Date value
3. Value must be provided with an associated Procedure Code value
4. Value must be on or after associated Beginning Date of Service value
5. Value must be on or before associated Eligible Date of Death value
6. Value must be not be populated when associated Procedure Code is not populated
7. Situational",CLAIMIP
CIP090,CIP.002.090,PROCEDURE-CODE-6,Procedure Code 6,Situational,"A procedure code based on ICD-9 and ICD-10 used by the state to identify the procedures performed during the hospital stay referenced by this claim. The principal procedure and related info should be recorded in Procedure Code 1, Procedure Code Date 1, and Procedure Code Flag 1. The principal procedure is performed for definitive treatment rather than for diagnostic or exploratory purposes. It is closely related to either the principal diagnosis or to complications that arise during other treatments. Use Procedure Code 2 through Procedure Code 6 (and related data elements) to record secondary, tertiary, etc. procedures.
",CIP090 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(8),281,288,Not Applicable,"1. Value must be 8 characters or less
2. When populated, there must be a corresponding Procedure Code Flag
3. If associated Procedure Code Flag value indicates an ICD-9-CM encoding ""02"", then value must be a valid ICD-9-CM procedure code
4. If associated Procedure Code Flag value indicates an ICD-10-CM encoding ""07"", then value must be a valid ICD-10-CM procedure code
5. If associated Procedure Code Flag value indicates an ""Other"" encoding ""10-87"", then State must provide T-MSIS system with State-specific procedure code list, and value must be a valid State-specific procedure code
6. Value must be in Procedure Code List (VVL)
7. Situational
",CLAIMIP
CIP092,CIP.002.092,PROCEDURE-CODE-FLAG-6,Procedure Code Flag 6,Situational,A flag that identifies the coding system used for an associated procedure code.,CIP092 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),289,290,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Flag List (VVL)
3. Situational
4. When populated, there must be a corresponding Procedure Code",CLAIMIP
CIP093,CIP.002.093,PROCEDURE-CODE-DATE-6,Procedure Code Date 6,Situational,The date upon which a reported medical procedure was performed.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),291,298,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be on or before associated Discharge Date value
3. Value must be provided with an associated Procedure Code value
4. Value must be on or after associated Beginning Date of Service value
5. Value must be on or before associated Eligible Date of Death value
6. Value must be not be populated when associated Procedure Code is not populated
7. Situational",CLAIMIP
CIP094,CIP.002.094,ADMISSION-DATE,Admission Date,Mandatory,The date on which the recipient was admitted to a hospital.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),299,306,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be less than or equal to associated Discharge Date value in the claim header
3. Value must be greater than or equal to associated eligible Date of Birth value
4. Value must be less than or equal to associated eligible Date of Death value
5. Mandatory
6. Value must be between Enrollment Effective Date (ELG.021.253) and Enrollment End Date (ELG.021.254)
7. Value must be before Adjudication Date (CIP.003.286)",CLAIMIP
CIP095,CIP.002.095,ADMISSION-HOUR,Admission Hour,Situational,The hour of admission to a hospital.,CIP095 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),307,308,Not Applicable,"1. Value must be 2 characters
2. Value must be in Hour List (VVL)
3. Situational",CLAIMIP
CIP096,CIP.002.096,DISCHARGE-DATE,Discharge Date,Conditional,The date on which the recipient was discharged from a hospital.,,CIP00002,CLAIM-HEADER-RECORD-IP,9(8),309,316,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be less than or equal to associated Adjudication Date value.
3. Value must be greater than or equal to associated Admission Date value.
4. Value must be greater than or equal to associated eligible Date of Birth value.
5. Value must be less than or equal to associated eligible Date of Death value.
6. Conditional
7. If associated Adjustment Indicator (CIP.002.026) does not equal ""1"" (Non-denied claims) and Patient Status (CIP.002.199) is not equal to ""30"" value must be populated.
8. When populated, Discharge Hour (CIP.002.097) must be populated",CLAIMIP
CIP097,CIP.002.097,DISCHARGE-HOUR,Discharge Hour,Situational,The hour of discharge from a hospital.,CIP097 Values,CIP00002,CLAIM-HEADER-RECORD-IP,X(2),317,318,Not Applicable,"1. Value must be 2 characters
2. Value must be in Hour List (VVL)
3. Situational
4. When populated, Discharge Date (CIP.002.096) must be populated",CLAIMIP
