Changes_from_v4_x.x_Update_to_v4.0.0,New_Row_Number,File_Segment_Number,File_Segment_Name,System_Data_Element_Number,Data_Element_Number,Data_Element_Name_Computing,Pipe_Separated_Value_Segment_Data_Element_Order,Size,Fixed_Length_Field_Start_Position,Fixed_Length_Field_Stop_Position,Notes-Changesfromv4.x.xUpdatetov4.0.0,file_name
NONE,15,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.014,CIP014,STATE-NOTATION,15,X(500),83,582,,CLAIMIP
NONE,16,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.015,CIP015,FILLER,16,X(1818),583,2400,,CLAIMIP
NONE,17,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.016,CIP016,RECORD-ID,1,X(8),1,8,,CLAIMIP
NONE,18,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.017,CIP017,SUBMITTING-STATE,2,X(2),9,10,,CLAIMIP
NONE,19,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.018,CIP018,RECORD-NUMBER,3,9(11),11,21,,CLAIMIP
NONE,20,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.019,CIP019,ICN-ORIG,4,X(50),22,71,,CLAIMIP
NONE,21,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.020,CIP020,ICN-ADJ,5,X(50),72,121,,CLAIMIP
NONE,22,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.021,CIP021,SUBMITTER-ID,6,X(12),122,133,,CLAIMIP
NONE,23,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.022,CIP022,MSIS-IDENTIFICATION-NUM,7,X(20),134,153,,CLAIMIP
NONE,24,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.023,CIP023,CROSSOVER-INDICATOR,8,X(1),154,154,,CLAIMIP
NONE,25,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.024,CIP024,TYPE-OF-HOSPITAL,9,X(2),155,156,,CLAIMIP
NONE,26,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.025,CIP025,1115A-DEMONSTRATION-IND,10,X(1),157,157,,CLAIMIP
NONE,27,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.026,CIP026,ADJUSTMENT-IND,11,X(1),158,158,,CLAIMIP
NONE,28,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.027,CIP027,ADJUSTMENT-REASON-CODE,12,X(3),159,161,,CLAIMIP
NONE,29,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.028,CIP028,ADMISSION-TYPE,13,X(1),162,162,,CLAIMIP
NONE,30,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.029,CIP029,DRG-DESCRIPTION,14,X(20),163,182,,CLAIMIP
NONE,31,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.068,CIP068,DIAGNOSIS-RELATED-GROUP,15,X(4),183,186,,CLAIMIP
NONE,32,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.069,CIP069,DIAGNOSIS-RELATED-GROUP-IND,16,X(4),187,190,,CLAIMIP
NONE,33,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.070,CIP070,PROCEDURE-CODE-1,17,X(8),191,198,,CLAIMIP
NONE,34,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.072,CIP072,PROCEDURE-CODE-FLAG-1,18,X(2),199,200,,CLAIMIP
NONE,35,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.073,CIP073,PROCEDURE-CODE-DATE-1,19,9(8),201,208,,CLAIMIP
NONE,36,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.074,CIP074,PROCEDURE-CODE-2,20,X(8),209,216,,CLAIMIP
NONE,37,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.076,CIP076,PROCEDURE-CODE-FLAG-2,21,X(2),217,218,,CLAIMIP
NONE,38,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.077,CIP077,PROCEDURE-CODE-DATE-2,22,9(8),219,226,,CLAIMIP
NONE,39,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.078,CIP078,PROCEDURE-CODE-3,23,X(8),227,234,,CLAIMIP
NONE,40,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.080,CIP080,PROCEDURE-CODE-FLAG-3,24,X(2),235,236,,CLAIMIP
NONE,41,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.081,CIP081,PROCEDURE-CODE-DATE-3,25,9(8),237,244,,CLAIMIP
NONE,42,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.082,CIP082,PROCEDURE-CODE-4,26,X(8),245,252,,CLAIMIP
NONE,43,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.084,CIP084,PROCEDURE-CODE-FLAG-4,27,X(2),253,254,,CLAIMIP
NONE,44,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.085,CIP085,PROCEDURE-CODE-DATE-4,28,9(8),255,262,,CLAIMIP
NONE,45,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.086,CIP086,PROCEDURE-CODE-5,29,X(8),263,270,,CLAIMIP
NONE,46,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.088,CIP088,PROCEDURE-CODE-FLAG-5,30,X(2),271,272,,CLAIMIP
NONE,47,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.089,CIP089,PROCEDURE-CODE-DATE-5,31,9(8),273,280,,CLAIMIP
NONE,48,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.090,CIP090,PROCEDURE-CODE-6,32,X(8),281,288,,CLAIMIP
NONE,49,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.092,CIP092,PROCEDURE-CODE-FLAG-6,33,X(2),289,290,,CLAIMIP
NONE,50,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.093,CIP093,PROCEDURE-CODE-DATE-6,34,9(8),291,298,,CLAIMIP
NONE,51,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.094,CIP094,ADMISSION-DATE,35,9(8),299,306,,CLAIMIP
NONE,52,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.095,CIP095,ADMISSION-HOUR,36,X(2),307,308,,CLAIMIP
NONE,53,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.096,CIP096,DISCHARGE-DATE,37,9(8),309,316,,CLAIMIP
NONE,54,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.097,CIP097,DISCHARGE-HOUR,38,X(2),317,318,,CLAIMIP
NONE,55,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.098,CIP098,ADJUDICATION-DATE,39,9(8),319,326,,CLAIMIP
NONE,56,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.099,CIP099,MEDICAID-PAID-DATE,40,9(8),327,334,,CLAIMIP
NONE,57,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.100,CIP100,TYPE-OF-CLAIM,41,X(1),335,335,,CLAIMIP
NONE,58,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.101,CIP101,TYPE-OF-BILL,42,X(4),336,339,,CLAIMIP
NONE,59,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.102,CIP102,CLAIM-STATUS,43,X(3),340,342,,CLAIMIP
NONE,60,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.103,CIP103,CLAIM-STATUS-CATEGORY,44,X(3),343,345,,CLAIMIP
NONE,61,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.104,CIP104,SOURCE-LOCATION,45,X(2),346,347,,CLAIMIP
NONE,62,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.105,CIP105,CHECK-NUM,46,X(15),348,362,,CLAIMIP
NONE,63,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.106,CIP106,CHECK-EFF-DATE,47,9(8),363,370,,CLAIMIP
NONE,64,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.108,CIP108,CLAIM-PYMT-REM-CODE-1,48,X(5),371,375,,CLAIMIP
NONE,65,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.109,CIP109,CLAIM-PYMT-REM-CODE-2,49,X(5),376,380,,CLAIMIP
NONE,66,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.110,CIP110,CLAIM-PYMT-REM-CODE-3,50,X(5),381,385,,CLAIMIP
NONE,67,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.111,CIP111,CLAIM-PYMT-REM-CODE-4,51,X(5),386,390,,CLAIMIP
NONE,68,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.112,CIP112,TOT-BILLED-AMT,52,S9(11)V99,391,403,,CLAIMIP
NONE,69,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.113,CIP113,TOT-ALLOWED-AMT,53,S9(11)V99,404,416,,CLAIMIP
NONE,70,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.114,CIP114,TOT-MEDICAID-PAID-AMT,54,S9(11)V99,417,429,,CLAIMIP
NONE,71,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.116,CIP116,TOT-MEDICARE-DEDUCTIBLE-AMT,55,S9(11)V99,430,442,,CLAIMIP
NONE,72,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.117,CIP117,TOT-MEDICARE-COINS-AMT,56,S9(11)V99,443,455,,CLAIMIP
NONE,73,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.118,CIP118,TOT-TPL-AMT,57,S9(11)V99,456,468,,CLAIMIP
NONE,74,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.119,CIP119,TOT-OTHER-INSURANCE-AMT,58,S9(11)V99,469,481,,CLAIMIP
NONE,75,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.121,CIP121,OTHER-INSURANCE-IND,59,X(1),482,482,,CLAIMIP
NONE,76,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.122,CIP122,OTHER-TPL-COLLECTION,60,X(3),483,485,,CLAIMIP
NONE,77,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.125,CIP125,FIXED-PAYMENT-IND,61,X(1),486,486,,CLAIMIP
NONE,78,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.126,CIP126,FUNDING-CODE,62,X(2),487,488,,CLAIMIP
NONE,79,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.127,CIP127,FUNDING-SOURCE-NONFEDERAL-SHARE,63,X(2),489,490,,CLAIMIP
NONE,80,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.128,CIP128,MEDICARE-COMB-DED-IND,64,X(1),491,491,,CLAIMIP
NONE,81,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.129,CIP129,PROGRAM-TYPE,65,X(2),492,493,,CLAIMIP
NONE,82,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.130,CIP130,PLAN-ID-NUMBER,66,X(12),494,505,,CLAIMIP
NONE,83,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.132,CIP132,PAYMENT-LEVEL-IND,67,X(1),506,506,,CLAIMIP
NONE,84,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.133,CIP133,MEDICARE-REIM-TYPE,68,X(2),507,508,,CLAIMIP
NONE,85,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.134,CIP134,NON-COV-DAYS,69,S9(5),509,513,,CLAIMIP
NONE,86,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.135,CIP135,NON-COV-CHARGES,70,S9(11)V99,514,526,,CLAIMIP
NONE,87,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.136,CIP136,MEDICAID-COV-INPATIENT-DAYS,71,S9(7),527,533,,CLAIMIP
NONE,88,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.137,CIP137,CLAIM-LINE-COUNT,72,9(4),534,537,,CLAIMIP
NONE,89,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.138,CIP138,FORCED-CLAIM-IND,73,X(1),538,538,,CLAIMIP
NONE,90,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.139,CIP139,HEALTH-CARE-ACQUIRED-CONDITION-IND,74,X(1),539,539,,CLAIMIP
NONE,91,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.140,CIP140,OCCURRENCE-CODE-01,75,X(2),540,541,,CLAIMIP
NONE,92,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.141,CIP141,OCCURRENCE-CODE-02,76,X(2),542,543,,CLAIMIP
NONE,93,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.142,CIP142,OCCURRENCE-CODE-03,77,X(2),544,545,,CLAIMIP
NONE,94,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.143,CIP143,OCCURRENCE-CODE-04,78,X(2),546,547,,CLAIMIP
NONE,95,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.144,CIP144,OCCURRENCE-CODE-05,79,X(2),548,549,,CLAIMIP
NONE,96,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.145,CIP145,OCCURRENCE-CODE-06,80,X(2),550,551,,CLAIMIP
NONE,97,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.146,CIP146,OCCURRENCE-CODE-07,81,X(2),552,553,,CLAIMIP
NONE,98,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.147,CIP147,OCCURRENCE-CODE-08,82,X(2),554,555,,CLAIMIP
NONE,99,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.148,CIP148,OCCURRENCE-CODE-09,83,X(2),556,557,,CLAIMIP
NONE,100,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.149,CIP149,OCCURRENCE-CODE-10,84,X(2),558,559,,CLAIMIP
NONE,101,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.150,CIP150,OCCURRENCE-CODE-EFF-DATE-01,85,9(8),560,567,,CLAIMIP
NONE,102,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.151,CIP151,OCCURRENCE-CODE-EFF-DATE-02,86,9(8),568,575,,CLAIMIP
NONE,103,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.152,CIP152,OCCURRENCE-CODE-EFF-DATE-03,87,9(8),576,583,,CLAIMIP
NONE,104,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.153,CIP153,OCCURRENCE-CODE-EFF-DATE-04,88,9(8),584,591,,CLAIMIP
NONE,105,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.154,CIP154,OCCURRENCE-CODE-EFF-DATE-05,89,9(8),592,599,,CLAIMIP
NONE,106,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.155,CIP155,OCCURRENCE-CODE-EFF-DATE-06,90,9(8),600,607,,CLAIMIP
NONE,107,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.156,CIP156,OCCURRENCE-CODE-EFF-DATE-07,91,9(8),608,615,,CLAIMIP
NONE,108,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.157,CIP157,OCCURRENCE-CODE-EFF-DATE-08,92,9(8),616,623,,CLAIMIP
NONE,109,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.158,CIP158,OCCURRENCE-CODE-EFF-DATE-09,93,9(8),624,631,,CLAIMIP
NONE,110,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.159,CIP159,OCCURRENCE-CODE-EFF-DATE-10,94,9(8),632,639,,CLAIMIP
NONE,111,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.160,CIP160,OCCURRENCE-CODE-END-DATE-01,95,9(8),640,647,,CLAIMIP
NONE,112,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.161,CIP161,OCCURRENCE-CODE-END-DATE-02,96,9(8),648,655,,CLAIMIP
NONE,113,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.162,CIP162,OCCURRENCE-CODE-END-DATE-03,97,9(8),656,663,,CLAIMIP
NONE,114,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.163,CIP163,OCCURRENCE-CODE-END-DATE-04,98,9(8),664,671,,CLAIMIP
NONE,115,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.164,CIP164,OCCURRENCE-CODE-END-DATE-05,99,9(8),672,679,,CLAIMIP
NONE,116,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.165,CIP165,OCCURRENCE-CODE-END-DATE-06,100,9(8),680,687,,CLAIMIP
NONE,117,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.166,CIP166,OCCURRENCE-CODE-END-DATE-07,101,9(8),688,695,,CLAIMIP
NONE,118,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.167,CIP167,OCCURRENCE-CODE-END-DATE-08,102,9(8),696,703,,CLAIMIP
NONE,119,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.168,CIP168,OCCURRENCE-CODE-END-DATE-09,103,9(8),704,711,,CLAIMIP
NONE,120,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.169,CIP169,OCCURRENCE-CODE-END-DATE-10,104,9(8),712,719,,CLAIMIP
NONE,121,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.170,CIP170,BIRTH-WEIGHT-GRAMS,105,S9(6)V999,720,728,,CLAIMIP
NONE,122,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.171,CIP171,PATIENT-CONTROL-NUM,106,X(20),729,748,,CLAIMIP
NONE,123,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.172,CIP172,ELIGIBLE-LAST-NAME,107,X(30),749,778,,CLAIMIP
NONE,124,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.173,CIP173,ELIGIBLE-FIRST-NAME,108,X(30),779,808,,CLAIMIP
NONE,125,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.174,CIP174,ELIGIBLE-MIDDLE-INIT,109,X(1),809,809,,CLAIMIP
NONE,126,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.175,CIP175,DATE-OF-BIRTH,110,9(8),810,817,,CLAIMIP
NONE,127,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.176,CIP176,HEALTH-HOME-PROV-IND,111,X(1),818,818,,CLAIMIP
NONE,128,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.177,CIP177,WAIVER-TYPE,112,X(2),819,820,,CLAIMIP
NONE,129,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.178,CIP178,WAIVER-ID,113,X(20),821,840,,CLAIMIP
NONE,130,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.179,CIP179,BILLING-PROV-NUM,114,X(30),841,870,,CLAIMIP
NONE,131,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.180,CIP180,BILLING-PROV-NPI-NUM,115,X(10),871,880,,CLAIMIP
NONE,132,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.181,CIP181,BILLING-PROV-TAXONOMY,116,X(12),881,892,,CLAIMIP
NONE,133,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.182,CIP182,BILLING-PROV-TYPE,117,X(2),893,894,,CLAIMIP
NONE,134,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.183,CIP183,BILLING-PROV-SPECIALTY,118,X(2),895,896,,CLAIMIP
NONE,135,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.184,CIP184,ADMITTING-PROV-NPI-NUM,119,X(10),897,906,,CLAIMIP
NONE,136,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.185,CIP185,ADMITTING-PROV-NUM,120,X(30),907,936,,CLAIMIP
NONE,137,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.186,CIP186,ADMITTING-PROV-SPECIALTY,121,X(2),937,938,,CLAIMIP
NONE,138,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.187,CIP187,ADMITTING-PROV-TAXONOMY,122,X(12),939,950,,CLAIMIP
NONE,139,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.188,CIP188,ADMITTING-PROV-TYPE,123,X(2),951,952,,CLAIMIP
NONE,140,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.189,CIP189,REFERRING-PROV-NUM,124,X(30),953,982,,CLAIMIP
NONE,141,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.190,CIP190,REFERRING-PROV-NPI-NUM,125,X(10),983,992,,CLAIMIP
NONE,142,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.194,CIP194,DRG-OUTLIER-AMT,126,S9(11)V99,993,1005,,CLAIMIP
NONE,143,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.195,CIP195,DRG-REL-WEIGHT,127,S9(3)V99999,1006,1013,,CLAIMIP
NONE,144,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.196,CIP196,MEDICARE-HIC-NUM,128,X(12),1014,1025,,CLAIMIP
NONE,145,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.197,CIP197,OUTLIER-CODE,129,X(2),1026,1027,,CLAIMIP
NONE,146,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.198,CIP198,OUTLIER-DAYS,130,S9(5),1028,1032,,CLAIMIP
NONE,147,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.199,CIP199,PATIENT-STATUS,131,X(2),1033,1034,,CLAIMIP
NONE,148,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.202,CIP202,REMITTANCE-NUM,132,X(30),1035,1064,,CLAIMIP
NONE,149,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.203,CIP203,SPLIT-CLAIM-IND,133,X(1),1065,1065,,CLAIMIP
NONE,150,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.204,CIP204,BORDER-STATE-IND,134,X(1),1066,1066,,CLAIMIP
NONE,151,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.206,CIP206,TOT-BENEFICIARY-COINSURANCE-PAID-AMOUNT,135,S9(11)V99,1067,1079,,CLAIMIP
NONE,152,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.207,CIP207,BENEFICIARY-COINSURANCE-DATE-PAID,136,9(8),1080,1087,,CLAIMIP
NONE,153,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.208,CIP208,TOT-BENEFICIARY-COPAYMENT-PAID-AMOUNT,137,S9(11)V99,1088,1100,,CLAIMIP
NONE,154,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.209,CIP209,BENEFICIARY-COPAYMENT-DATE-PAID,138,9(8),1101,1108,,CLAIMIP
NONE,155,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.210,CIP210,TOT-BENEFICIARY-DEDUCTIBLE-PAID-AMOUNT,139,S9(11)V99,1109,1121,,CLAIMIP
NONE,156,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.211,CIP211,BENEFICIARY-DEDUCTIBLE-DATE-PAID,140,9(8),1122,1129,,CLAIMIP
NONE,157,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.212,CIP212,CLAIM-DENIED-INDICATOR,141,X(1),1130,1130,,CLAIMIP
NONE,158,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.213,CIP213,COPAY-WAIVED-IND,142,X(1),1131,1131,,CLAIMIP
NONE,159,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.214,CIP214,HEALTH-HOME-ENTITY-NAME,143,X(50),1132,1181,,CLAIMIP
NONE,160,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.216,CIP216,THIRD-PARTY-COINSURANCE-AMOUNT-PAID,144,S9(11)V99,1182,1194,,CLAIMIP
NONE,161,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.217,CIP217,THIRD-PARTY-COINSURANCE-DATE-PAID,145,9(8),1195,1202,,CLAIMIP
NONE,162,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.218,CIP218,THIRD-PARTY-COPAYMENT-AMOUNT-PAID,146,S9(11)V99,1203,1215,,CLAIMIP
NONE,163,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.219,CIP219,THIRD-PARTY-COPAYMENT-DATE-PAID,147,9(8),1216,1223,,CLAIMIP
NONE,164,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.220,CIP220,MEDICAID-AMOUNT-PAID-DSH,148,S9(11)V99,1224,1236,,CLAIMIP
NONE,165,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.221,CIP221,HEALTH-HOME-PROVIDER-NPI,149,X(10),1237,1246,,CLAIMIP
NONE,166,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.222,CIP222,MEDICARE-BENEFICIARY-IDENTIFIER,150,X(12),1247,1258,,CLAIMIP
NONE,167,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.223,CIP223,OPERATING-PROV-TAXONOMY,151,X(12),1259,1270,,CLAIMIP
NONE,168,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.228,CIP228,MEDICARE-PAID-AMT,152,S9(11)V99,1271,1283,,CLAIMIP
NONE,169,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.289,CIP289,PROV-LOCATION-ID,153,X(5),1284,1288,,CLAIMIP
