MEASURE,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
OUT,QI_COMBINED_HEDIS_2023_PLD,,,BPD_Num,1,8,39,,1,192,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CAU1_Denom,1,8,228,,1,1704,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CAU1_EP,1,8,226,,1,1688,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CAU1_Num,1,8,230,,1,1720,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CAU2_Denom,1,8,229,,1,1712,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CAU2_EP,1,8,227,,1,1696,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CAU2_Num,1,8,231,,1,1728,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CBP_Denom,1,8,117,,1,816,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CBP_EP,1,8,116,,1,808,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CBP_Num,1,8,118,,1,824,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP1_Denom,1,8,107,,1,736,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP1_Num,1,8,100,,1,680,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP2_Denom,1,8,101,,1,688,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP2_Num,1,8,102,,1,696,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP3_Denom,1,8,103,,1,704,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP3_Num,1,8,104,,1,712,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP4_Denom,1,8,105,,1,720,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP4_Num,1,8,106,,1,728,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP5_Denom,1,8,108,,1,744,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP5_Num,1,8,109,,1,752,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP6_Denom,1,8,110,,1,760,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP6_Num,1,8,111,,1,768,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP7_Denom,1,8,112,,1,776,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP7_Num,1,8,113,,1,784,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP8_Denom,1,8,114,,1,792,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCP8_Num,1,8,115,,1,800,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCS_Denom,1,8,43,,1,224,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCS_EP,1,8,42,,1,216,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCS_Num,1,8,44,,1,232,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW1_Denom,1,8,98,,1,664,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW1_Num,1,8,92,,1,616,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW2_Denom,1,8,99,,1,672,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW2_Num,1,8,93,,1,624,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW3_Denom,1,8,94,,1,632,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW3_Num,1,8,95,,1,640,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW4_Denom,1,8,96,,1,648,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CCW4_Num,1,8,97,,1,656,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CDF1_Denom,1,8,290,,1,2200,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CDF1_Num,1,8,291,,1,2208,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CDF2_Denom,1,8,292,,1,2216,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CDF2_Num,1,8,293,,1,2224,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CHL_EP,1,8,86,,1,568,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CHL_Num,1,8,87,,1,576,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS10_Denom,1,8,69,,1,432,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS10_EP,1,8,56,,1,328,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS10_Num,1,8,82,,1,536,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS11_Denom,1,8,70,,1,440,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS11_EP,1,8,57,,1,336,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS11_Num,1,8,83,,1,544,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS12_Denom,1,8,71,,1,448,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS12_EP,1,8,58,,1,344,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS12_Num,1,8,84,,1,552,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS13_Denom,1,8,72,,1,456,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS13_EP,1,8,59,,1,352,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS13_Num,1,8,85,,1,560,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS1_Denom,1,8,60,,1,360,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS1_EP,1,8,47,,1,256,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS1_Num,1,8,73,,1,464,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS2_Denom,1,8,61,,1,368,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS2_EP,1,8,48,,1,264,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS2_Num,1,8,74,,1,472,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS3_Denom,1,8,62,,1,376,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS3_EP,1,8,49,,1,272,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS3_Num,1,8,75,,1,480,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS4_Denom,1,8,63,,1,384,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS4_EP,1,8,50,,1,280,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS4_Num,1,8,76,,1,488,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS5_Denom,1,8,64,,1,392,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS5_EP,1,8,51,,1,288,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS5_Num,1,8,77,,1,496,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS6_Denom,1,8,65,,1,400,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS6_EP,1,8,52,,1,296,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS6_Num,1,8,78,,1,504,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS7_Denom,1,8,66,,1,408,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS7_EP,1,8,53,,1,304,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS7_Num,1,8,79,,1,512,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS8_Denom,1,8,67,,1,416,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS8_EP,1,8,54,,1,312,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS8_Num,1,8,80,,1,520,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS9_Denom,1,8,68,,1,424,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS9_EP,1,8,55,,1,320,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,CIS9_Num,1,8,81,,1,528,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
