OWNER,TABLE_NAME,COLUMN_NAME,ADDED_DESCRIPTION,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SIEBEL,CX_EMRGNCY_SRV,START_DATE, Health service start date ,DATE,,,7,,,Y,11,,,3788,7.76E+13,7979010E010101,0.000263992,979,1,2-Jun-24,150838,,,YES,NO,8,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_EMRGNCY_SRV,DB_LAST_UPD_SRC,Login by whom record is updated recently from DB,VARCHAR2,,,200,,,Y,12,,,3,4F626A656374204D616E61676572202D2044656661756C74,55736572,0.333333333,0,1,2-Jun-24,151817,CHAR_CS,200,YES,NO,19,50,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,EMERGENCY_SRV_DAYS,,VARCHAR2,,,80,,,Y,13,,,0,,,0,151817,0,2-Jun-24,,CHAR_CS,80,YES,NO,0,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,REASON_CD,Health Service Reason Code,VARCHAR2,,,120,,,Y,14,,,35,3031,524553,0.028571429,146865,1,2-Jun-24,4952,CHAR_CS,120,YES,NO,2,30,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,STATUS,Health service emergency status,VARCHAR2,,,80,,,Y,15,,,3,417070726F766564,50656E64696E67,0.333333333,0,1,2-Jun-24,151817,CHAR_CS,80,YES,NO,9,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,ROW_ID,Row Id of the record,VARCHAR2,,,60,,,N,1,,,5360092,312D3130304C2D31,312D5A5A4D2D393939,1.87E-07,0,1,20-Jun-24,5360092,CHAR_CS,60,YES,NO,12,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CREATED,Date on which record is created,DATE,,,7,,,N,2,8,sysdate ,2665,78710B03023C06,787C0613131F28,0.000233,0,254,20-Jun-24,5567,,,YES,NO,8,0,,NO,YES,HYBRID,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,CREATED_BY,Login by whom record is created,VARCHAR2,,,60,,,N,3,,,2,302D31,312D3134424543,0.5,0,1,20-Jun-24,5360092,CHAR_CS,60,YES,NO,8,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,LAST_UPD,Recent Date on which record got updated,DATE,,,7,,,N,4,8,sysdate ,2665,78710B03023C06,787C0613131F28,0.000375235,0,1,20-Jun-24,5360092,,,YES,NO,8,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,LAST_UPD_BY,Login by whom record is updated recently,VARCHAR2,,,60,,,N,5,,,2,302D31,312D3134424543,0.5,0,1,20-Jun-24,5360092,CHAR_CS,60,YES,NO,8,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,MODIFICATION_NUM,Number of modifications on the record,NUMBER,,,22,10,0,N,6,2,0,1,80,80,1,0,1,20-Jun-24,5360092,,,YES,NO,2,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,CONFLICT_ID,unique identifier assigned to a conflict record.,VARCHAR2,,,60,,,N,7,4,0' ,1,30,30,1,0,1,20-Jun-24,5360092,CHAR_CS,60,YES,NO,2,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DB_LAST_UPD,Recent Date on which record got updated from DB,DATE,,,7,,,Y,8,,,2665,78710B03023C06,787C0613131F28,0.000375235,0,1,20-Jun-24,5360092,,,YES,NO,8,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,GARNISH_AMT_WITHHELD,An individual's wages or income legally deducted to satisfy a garnishment order for unpaid debts,NUMBER,,,22,22,7,Y,9,,,1484,80,C21410,0.000673854,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,GROSS_AMOUNT_PAYABLE_DUAL,Gross amount payable is calculated and processed through two separate channels ,NUMBER,,,22,22,7,Y,10,,,15497,80,C2272329,6.45E-05,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,GROSS_AMOUNT_PAYABLE_TRIPLE,Gross amount payable is calculated and processed through three separate channels ,NUMBER,,,22,22,7,Y,11,,,2,80,C2120633,0.5,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,GROSS_AMT_PAY,Gross Amount Payable,NUMBER,,,22,22,7,Y,12,,,28730,80,C23D35,3.48E-05,259928,1,20-Jun-24,5100164,,,YES,NO,4,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,HI_PREM_AMT,Health Insurance Premium Amount,NUMBER,,,22,22,7,Y,13,,,47,80,C206393D,0.021276596,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,MONTHLY_BENEFIT_PAYABLE_DUAL,Mothly Amount payable in Dual,NUMBER,,,22,22,7,Y,14,,,3143,80,C22723,0.000318167,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,MONTHLY_BENEFIT_PAYABLE_TRIPLE,Benefits amount need to pay monthly ,NUMBER,,,22,22,7,Y,15,,,2,80,C21206,0.5,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,MONTHLY_OP_DED_AMT,Monthly deduction amount for operating expenses (OP) incurred in a financial or budgetary context,NUMBER,,,22,22,7,Y,16,,,3070,80,C21F2D,0.000325733,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,MONTH_BEN_PAY,Benfit amount payable monthly,NUMBER,,,22,22,7,Y,17,,,20382,80,C2641E,4.91E-05,259928,1,20-Jun-24,5100164,,,YES,NO,4,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,NET_AMOUNT,Net Amount Payable,NUMBER,,,22,10,0,Y,18,,,0,,,0,5360092,0,20-Jun-24,,,,YES,NO,0,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,NET_AMOUNT_1,Net Amount Payable,NUMBER,,,22,10,2,Y,19,,,2722,C20202,C22502,0.000252,0,254,20-Jun-24,5567,,,YES,NO,4,0,,NO,YES,HYBRID,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,NET_MONTHLY_BENEFIT_AMT_DUAL,benefit amount is calculated and processed through two separate channels or methods simultaneously on a monthly basis,NUMBER,,,22,22,7,Y,20,,,3187,80,C22723,0.000313775,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,NET_MONTHLY_BENEFIT_AMT_TRIPLE,benefit amount is calculated and processed through three separate channels or methods simultaneously on a monthly basis,NUMBER,,,22,22,7,Y,21,,,2,80,C21206,0.5,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,NET_MONTH_BENFT_AMT,Net Monthly Benefit Amount,NUMBER,,,22,22,7,Y,22,,,22192,80,C23D35,4.51E-05,259928,1,20-Jun-24,5100164,,,YES,NO,4,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,RETRO_PAYMENT_AMOUNT_DUAL,Dual payment system where retroactive payment amounts are calculated and processed through two separate channels,NUMBER,,,22,22,7,Y,23,,,1,80,80,1,0,1,20-Jun-24,5360092,,,YES,NO,2,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,RETRO_PAYMENT_AMOUNT_TRIPLE,Payment system where retroactive payment amounts are calculated and processed through three separate channels,NUMBER,,,22,22,7,Y,24,,,1,80,80,1,0,1,20-Jun-24,5360092,,,YES,NO,2,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,RETRO_PAY_AMT,Retroactive payment amount,NUMBER,,,22,22,7,Y,25,,,1,80,80,1,0,1,20-Jun-24,5360092,,,YES,NO,2,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,SMI_PREM_AMT,Premium SSI Amount,NUMBER,,,22,22,7,Y,26,,,966,80,C20763,0.001035197,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,SSI_OVERPMT_AMT_WITHHELD,Amount of Supplemental Security Income (SSI) overpayment that has been withheld or deducted from a recipient's benefits,NUMBER,,,22,22,7,Y,27,,,243,80,C20A04,0.004115226,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,VAR_SMI_PREMIUM,Variable Medicare Part B (SMI) Identifier,NUMBER,,,22,22,7,Y,28,,,373,80,C2024A47,0.002680965,0,1,20-Jun-24,5360092,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_KIES_BENDEX,ACTIVE_RECORD_IND,Indicator used for Active Record,VARCHAR2,,,20,,,Y,29,,,0,,,0,5360092,0,20-Jun-24,,CHAR_CS,20,YES,NO,0,5,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,AGENCY_CD,Agency Code Number,VARCHAR2,,,12,,,Y,30,,,1,313230,313230,1,0,1,20-Jun-24,5360092,CHAR_CS,12,YES,NO,4,3,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,BEN_DEATH_DT,Bendex Beneficiary Deceased Date,VARCHAR2,,,80,,,Y,31,,,3156,3.03E+15,3.13E+15,0.000316857,0,1,20-Jun-24,5360092,CHAR_CS,80,YES,NO,9,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,BEN_FST_NAME,Indicates when the activity is completed,VARCHAR2,,,60,,,Y,32,,,43760,41,5A5A494E41,2.29E-05,0,1,20-Jun-24,5360092,CHAR_CS,60,YES,NO,8,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,BEN_LAST_NAME,Full name of the related client,VARCHAR2,,,80,,,Y,33,,,51980,41204D41525155455A,5A595749434B49,1.92E-05,0,1,20-Jun-24,5360092,CHAR_CS,80,YES,NO,8,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,BEN_MID_NAME,Relationship to the Client on the Case,VARCHAR2,,,60,,,Y,34,,,35192,41,5A594F4E,2.84E-05,1008472,1,20-Jun-24,4351620,CHAR_CS,60,YES,NO,5,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,BEN_SUFFIX,Suffix,VARCHAR2,,,16,,,Y,35,,,24,30393137,59,0.041666667,5173597,1,20-Jun-24,186495,CHAR_CS,16,YES,NO,2,4,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,BIC,Bank Identifier Code,VARCHAR2,,,8,,,Y,36,,,67,41,5752,0.014925373,0,1,20-Jun-24,5360092,CHAR_CS,8,YES,NO,3,2,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CAT_ASSIST_CD,Assistence Categories,VARCHAR2,,,4,,,Y,37,,,11,41,53,0.090909091,3349,1,20-Jun-24,5356743,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CLIENT_ID, Indicates which category the activity belongs,VARCHAR2,,,48,,,Y,38,,,223152,3.03E+19,3.03E+19,0.000004,0,254,20-Jun-24,5567,CHAR_CS,48,YES,NO,11,12,C,NO,YES,HYBRID,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,COMM_CODE,Total Expense amount of the client,VARCHAR2,,,32,,,Y,39,,,759,4.35E+11,58524546204E554D,0.001317523,0,1,20-Jun-24,5360092,CHAR_CS,32,YES,NO,9,8,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CONTACT_ID,BENDEX Contact,VARCHAR2,,,60,,,Y,40,,,224752,312D31303038424A,312D5A5A50494853,4.45E-06,4,1,20-Jun-24,5360088,CHAR_CS,60,YES,NO,11,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CROSS_REF_BIC,BIC (Bank Identifier Code) used for cross-referencing purposes,VARCHAR2,,,8,,,Y,41,,,68,23,5752,0.014705882,5095750,1,20-Jun-24,264342,CHAR_CS,8,YES,NO,2,2,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CROSS_REF_SSN,SSN used for cross-referencing purposes,VARCHAR2,,,36,,,Y,42,,,28130,3.03E+17,3.84E+17,3.55E-05,4747943,1,20-Jun-24,612149,CHAR_CS,36,YES,NO,3,9,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_COUNTRY1,County of the Citizen,VARCHAR2,,,8,,,Y,43,,,160,4147,5A49,0.00625,817966,1,20-Jun-24,4542126,CHAR_CS,8,YES,NO,3,2,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_COUNTRY2,Country of the Citizen,VARCHAR2,,,8,,,Y,44,,,53,414C,5858,0.018867925,5345999,1,20-Jun-24,14093,CHAR_CS,8,YES,NO,2,2,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_COUNTRY3,Country of the Citizen,VARCHAR2,,,8,,,Y,45,,,0,,,0,5360092,0,20-Jun-24,,CHAR_CS,8,YES,NO,0,2,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_START1_DT,Citizen Start Date,VARCHAR2,,,80,,,Y,46,,,1319,3.03E+11,3.13E+11,0.00075815,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_START2_DT,Citizen Start Date,VARCHAR2,,,80,,,Y,47,,,497,3.03E+11,3.13E+11,0.002012072,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_START3_DT,Citizen Start Date,VARCHAR2,,,80,,,Y,48,,,2,3.03E+11,3.13E+11,0.5,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_STOP1_DT,Citizen Stop Date,VARCHAR2,,,80,,,Y,49,,,41,3.03E+11,3.13E+11,0.024390244,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_STOP2_DT,Citizen Stop Date,VARCHAR2,,,80,,,Y,50,,,92,3.03E+11,3.13E+11,0.010869565,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_STOP3_DT,Citizen Stop Date,VARCHAR2,,,80,,,Y,51,,,1,3.03E+11,3.03E+11,1,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_US_PROOF1,US Citizenship Proof details,VARCHAR2,,,4,,,Y,52,,,3,43,59,0.333333333,1406575,1,20-Jun-24,3953517,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_US_PROOF2,US Citizenship Proof details,VARCHAR2,,,4,,,Y,53,,,2,43,59,0.5,5357756,1,20-Jun-24,2336,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,CTZN_US_PROOF3,US Citizenship Proof details,VARCHAR2,,,4,,,Y,54,,,0,,,0,5360092,0,20-Jun-24,,CHAR_CS,4,YES,NO,0,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DB_LAST_UPD_SRC,Login by whom record is updated recently from DB,VARCHAR2,,,200,,,Y,55,,,1,45494D,45494D,1,0,1,20-Jun-24,5360092,CHAR_CS,200,YES,NO,4,50,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DIRECT_DEP_FLG,indicator that denotes whether a payment or deposit is made directly into a recipient's bank account,VARCHAR2,,,4,,,Y,56,,,2,43,53,0.5,1653605,1,20-Jun-24,3706487,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DISABILITY_DT,Disablity Date,VARCHAR2,,,80,,,Y,57,,,899,3.03E+11,3.13E+11,0.001112347,0,1,20-Jun-24,5360092,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DOB,Birth Date,VARCHAR2,,,80,,,Y,58,,,35096,3.03E+15,3.13E+15,2.85E-05,0,1,20-Jun-24,5360092,CHAR_CS,80,YES,NO,9,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DUAL_ENTLMNT_BIC,Bank Identifier Code (BIC) associated with a dual entitlement scenario,VARCHAR2,,,8,,,Y,59,,,51,41,5737,0.019607843,4715808,1,20-Jun-24,644284,CHAR_CS,8,YES,NO,2,2,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DUAL_ENTLMNT_INDIC,Indicator for Bank Identifier Code (BIC) associated with a dual entitlement scenario,VARCHAR2,,,4,,,Y,60,,,2,44,54,0.5,4785479,1,20-Jun-24,574613,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DUAL_ENTLMNT_SSN,SSN associated with a dual entitlement scenario,VARCHAR2,,,36,,,Y,61,,,29624,3.03E+17,3.84E+17,3.38E-05,4715808,1,20-Jun-24,644284,CHAR_CS,36,YES,NO,3,9,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,DWI_CD,DWI Code,VARCHAR2,,,4,,,Y,62,,,1,57,57,1,2676641,1,20-Jun-24,2683451,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,EARNINGS_REQ_IND,Indicator used for identifying Earnings,VARCHAR2,,,4,,,Y,63,,,1,45,45,1,4999048,1,20-Jun-24,361044,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,EFFECTIVE_DATE_DUAL,Effective date Code,VARCHAR2,,,80,,,Y,64,,,345,3.03E+11,3.13E+11,0.002898551,5297697,1,20-Jun-24,62395,CHAR_CS,80,YES,NO,2,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,EFFECTIVE_DT,BENDEX Effective Date,VARCHAR2,,,80,,,Y,65,,,707,3.03E+11,3.13E+11,0.001414427,0,1,20-Jun-24,5360092,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,ENDING_DATE_FOR_OP_DED_DUAL,End Date for OP Dual,VARCHAR2,,,80,,,Y,66,,,29,3.03E+11,3.13E+11,0.034482759,5297700,1,20-Jun-24,62392,CHAR_CS,80,YES,NO,2,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,ENDING_DATE_FOR_OP_DED_TRIPLE,End Date for OP DED Triple,VARCHAR2,,,80,,,Y,67,,,1,3.03E+11,3.03E+11,1,5360089,1,20-Jun-24,3,CHAR_CS,80,YES,NO,2,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,ENTLMNT_CURR_DT,Current Entitlemnet Date,VARCHAR2,,,80,,,Y,68,,,783,3.03E+11,3.13E+11,0.001277139,0,1,20-Jun-24,5360092,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,ENTLMNT_INIT_DT,Initial Entitlement Date,VARCHAR2,,,80,,,Y,69,,,834,3.03E+11,3.13E+11,0.001199041,0,1,20-Jun-24,5360092,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,FIRST_HI_START_DT,First Health Insurance Start Date,VARCHAR2,,,80,,,Y,70,,,622,3.03E+11,3.13E+11,0.001607717,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,FIRST_HI_TERM_DT,First Health Insurance TerminationDate,VARCHAR2,,,80,,,Y,71,,,495,3.03E+11,3.13E+11,0.002020202,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,FIRST_SMI_START_DT,First Medicare Part B Start Date,VARCHAR2,,,80,,,Y,72,,,622,3.03E+11,3.13E+11,0.001607717,225462,1,20-Jun-24,5134630,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,FIRST_SMI_TERM_DT,First Medicare Part B Termination Date,VARCHAR2,,,80,,,Y,73,,,509,3.03E+11,3.13E+11,0.001964637,936,1,20-Jun-24,5359156,CHAR_CS,80,YES,NO,7,20,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_KIES_BENDEX,HI_BASIS,"foundational components and principles defining coverage terms, such as deductibles, premiums, and covered services",VARCHAR2,,,4,,,Y,74,,,5,41,57,0.2,1714384,1,20-Jun-24,3645708,CHAR_CS,4,YES,NO,2,1,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
