DD V2.4.0 - Data Element,,,,,,,,,,,
ACTION CODE,"NEW
 ROW
 NBR",DE NO,DE NO EXTENDED,"DATA 
ELEMENT
 NAME
 COMPUTING","DATA 
ELEMENT
NAME TEXT",DATA ELEMENT LEVEL NECESSITY,DEFINITION,CODING REQUIREMENT,"LAST 
UPDATE
 DATE",FILENAME,"FILE SEGMENT NAME
WITH RECORD ID 
COMPUTING"
X1,17,CIP007,CIP.001.007,SUBMITTING-STATE,Submitting State ,Mandatory,A code that uniquely identifies the U.S. State or Territory from which T-MSIS system data resources were received.,Value must be in State Code List (VVL),2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,18,CIP007,CIP.001.007,SUBMITTING-STATE,Submitting State ,Not Applicable,Not Applicable,Value must be 2 characters,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,19,CIP007,CIP.001.007,SUBMITTING-STATE,Submitting State ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,20,CIP008,CIP.001.008,DATE-FILE-CREATED,Date File Created ,Mandatory,The date on which the file was created.,"Value of the CC component must be ""20""",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,21,CIP008,CIP.001.008,DATE-FILE-CREATED,Date File Created ,Not Applicable,Not Applicable,"Value must be 8 characters in the form ""CCYYMMDD""",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,22,CIP008,CIP.001.008,DATE-FILE-CREATED,Date File Created ,Not Applicable,Not Applicable,"The date must be a valid calendar date (i.e. Feb 29th only on the leap year,  never April 31st or Sept 31st)",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,23,CIP008,CIP.001.008,DATE-FILE-CREATED,Date File Created ,Not Applicable,Not Applicable,Value must be equal to or after the value of associated End of Time Period ,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,24,CIP008,CIP.001.008,DATE-FILE-CREATED,Date File Created ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,25,CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period ,Mandatory,"This value must be the first day of the reporting month, regardless of the actual date span of the data in the file.","Value of the CC component must be ""20""",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,26,CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period ,Not Applicable,Not Applicable,"Value must be 8 characters in the form ""CCYYMMDD""",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,27,CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period ,Not Applicable,Not Applicable,"The date must be a valid calendar date (i.e. Feb 29th only on the leap year,  never April 31st or Sept 31st)",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,28,CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period ,Not Applicable,Not Applicable,Value must be less than current date,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,29,CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period ,Not Applicable,Not Applicable,Value must be equal to or earlier than associated Date File Created,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,30,CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period ,Not Applicable,Not Applicable,Value must be before associated End of Time Period,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,31,CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,32,CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period ,Mandatory,"This value must be the last day of the reporting month, regardless of the actual date span.","Value must be 8 characters in the form ""CCYYMMDD""",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,33,CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period ,Not Applicable,Not Applicable,"Value of the CC component must be ""20""",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,34,CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period ,Not Applicable,Not Applicable,"The date must be a valid calendar date (i.e. Feb 29th only on the leap year,  never April 31st or Sept 31st)",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,35,CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period ,Not Applicable,Not Applicable,Value must be equal to or earlier than associated Date File Created ,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,36,CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period ,Not Applicable,Not Applicable,Value must be equal to or after associated Start of Time Period ,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,37,CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,38,CIP011,CIP.001.011,FILE-STATUS-INDICATOR,File Status Indicator  ,Mandatory,A code to indicate whether the records in the file are test or production records.,"For production files, value must be equal to 'P'",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,39,CIP011,CIP.001.011,FILE-STATUS-INDICATOR,File Status Indicator  ,Not Applicable,Not Applicable,Value must be 1 character,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,40,CIP011,CIP.001.011,FILE-STATUS-INDICATOR,File Status Indicator  ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,41,CIP012,CIP.001.012,SSN-INDICATOR,SSN Indicator ,Mandatory,"Indicates whether the state uses the eligible person's social security number instead of an MSIS Identification Number as the unique, unchanging eligible person identifier. A state's SSN/Non-SSN designation on the eligibility file should match on the claims and third party liability 
files.",Value must be in SSN Indicator List (VVL),2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,42,CIP012,CIP.001.012,SSN-INDICATOR,SSN Indicator ,Not Applicable,Not Applicable,Value must be 1 character,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,43,CIP012,CIP.001.012,SSN-INDICATOR,SSN Indicator ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,44,CIP013,CIP.001.013,TOT-REC-CNT,Total Record Count ,Mandatory,A count of all records in the file except for the file header record. This count will be used as a control total to help assure that the file did not become corrupted during transmission.,Value must be a positive integer,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,45,CIP013,CIP.001.013,TOT-REC-CNT,Total Record Count ,Not Applicable,Not Applicable,Value must be between 0:99999999999 (inclusive),2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,46,CIP013,CIP.001.013,TOT-REC-CNT,Total Record Count ,Not Applicable,Not Applicable,Value must be 11 digits or less,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,47,CIP013,CIP.001.013,TOT-REC-CNT,Total Record Count ,Not Applicable,Not Applicable,Value must equal the number of records included in the file submission except for the file header record.,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,48,CIP013,CIP.001.013,TOT-REC-CNT,Total Record Count ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,49,CIP014,CIP.001.014,STATE-NOTATION,State Notation ,Optional,A free text field for the submitting state to enter whatever information it chooses.,Value must be 500 characters or less,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,50,CIP014,CIP.001.014,STATE-NOTATION,State Notation ,Not Applicable,Not Applicable,Value must not contain a pipe or asterisk symbols,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,51,CIP014,CIP.001.014,STATE-NOTATION,State Notation ,Not Applicable,Not Applicable,Optional,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
D1,52,CIP015,CIP.001.015,FILLER,Not Applicable,Not Applicable,[No longer essential - Both data element and associated requirement(s); preserved for file submission integrity.  See Data Dictionary v2.3 for specific definition and coding requirement description(s).],Not Applicable,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,53,CIP275,CIP.001.275,SEQUENCE-NUMBER,Sequence Number ,Mandatory,"To enable states to sequentially number files, when related, follow-on files are necessary (i.e. update files, replace files).  This should begin with 1 for the 
original Create submission type and be incremented by one for each Replacement or Update submission for the same reporting period and file type (subject 
area).",Value must between 1 and 9999,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,54,CIP275,CIP.001.275,SEQUENCE-NUMBER,Sequence Number ,Not Applicable,Not Applicable,"Value must be equal to the largest of any prior values for the same reporting period and file type, plus 1 (i.e. incremented by 1)",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,55,CIP275,CIP.001.275,SEQUENCE-NUMBER,Sequence Number ,Not Applicable,Not Applicable,Value must not contain a pipe symbol,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
C2,56,CIP275,CIP.001.275,SEQUENCE-NUMBER,Sequence Number ,Not Applicable,Not Applicable,Value must be 4 characters or less,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,57,CIP275,CIP.001.275,SEQUENCE-NUMBER,Sequence Number ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,58,CIP016,CIP.002.016,RECORD-ID,Record ID ,Mandatory,"The Record Identifier element uniquely identifies each segment in a multi-segment entity record and is primarily used as a ""key"" to maintain referential integrity between data distributed over many segments for a particular entity.",Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,59,CIP016,CIP.002.016,RECORD-ID,Record ID ,Not Applicable,Not Applicable,"Value must equal ""CIP00002""",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,60,CIP017,CIP.002.017,SUBMITTING-STATE,Submitting State ,Mandatory,A code that uniquely identifies the U.S. State or Territory from which T-MSIS system data resources were received.,Value must be in State Code List (VVL),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,61,CIP017,CIP.002.017,SUBMITTING-STATE,Submitting State ,Not Applicable,Not Applicable,Value must be 2 characters,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,62,CIP017,CIP.002.017,SUBMITTING-STATE,Submitting State ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,63,CIP017,CIP.002.017,SUBMITTING-STATE,Submitting State ,Not Applicable,Not Applicable,Value must be the same as Submitting State (CIP.001.007),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,64,CIP018,CIP.002.018,RECORD-NUMBER,Record Number ,Mandatory,"A sequential number assigned by the submitter to identify each record segment row in the submission file. The Record Number, in conjunction with the Record Identifier, uniquely identifies a single record within the submission file.",Value must be unique within record segment over all records associated with a given Record ID ,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,65,CIP018,CIP.002.018,RECORD-NUMBER,Record Number ,Not Applicable,Not Applicable,Value must be greater than or equal to 1,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,66,CIP018,CIP.002.018,RECORD-NUMBER,Record Number ,Not Applicable,Not Applicable,Value must be 11 digits or less,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,67,CIP018,CIP.002.018,RECORD-NUMBER,Record Number ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,68,CIP019,CIP.002.019,ICN-ORIG,Original ICN ,Mandatory,A unique number assigned by the state's payment system that identifies an original or adjustment claim.,Value must be 50 characters or less,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,69,CIP019,CIP.002.019,ICN-ORIG,Original ICN ,Not Applicable,Not Applicable,Value must not contain a pipe or asterisk symbols,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,70,CIP019,CIP.002.019,ICN-ORIG,Original ICN ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,71,CIP020,CIP.002.020,ICN-ADJ,Adjustment ICN ,Conditional,A unique claim number assigned by the state's payment system that identifies the adjustment claim for an original transaction.,Value must be 50 characters or less,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,72,CIP020,CIP.002.020,ICN-ADJ,Adjustment ICN ,Not Applicable,Not Applicable,Value must not contain a pipe or asterisk symbols,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,73,CIP020,CIP.002.020,ICN-ADJ,Adjustment ICN ,Not Applicable,Not Applicable,"If associated Adjustment Indicator value is 0, then value must not be populated",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,74,CIP020,CIP.002.020,ICN-ADJ,Adjustment ICN ,Not Applicable,Not Applicable,Conditional,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,75,CIP021,CIP.002.021,SUBMITTER-ID,Submitter ID ,Mandatory,The Submitter Identification number is the value that identifies the provider/trading partner/clearing house organization to the state's claim adjudication system.,Value must be 12 characters or less,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C1,76,CIP021,CIP.002.021,SUBMITTER-ID,Submitter ID ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,77,CIP022,CIP.002.022,MSIS-IDENTIFICATION-NUM,MSIS Identification Number ,Mandatory,"A state-assigned unique identification number used to identify a Medicaid/CHIP enrolled individual (except on service tracking payments).  Value may be an SSN, temporary SSN or State-assigned eligible individual identifier.

MSIS Identification Numbers are a unique ""key"" value used to maintain referential integrity of data distributed over multiples files, segments and reporting periods.

See T-MSIS Guidance Document, ""CMS Guidance:  Reporting Shared MSIS Identification Numbers"" for information on reporting the MSIS Identification Numbers ID for pregnant women, unborn children, mothers, and their deemed newborns younger than 1 year of age who share the 
same MSIS Identification Number.
https://www.medicaid.gov/medicaid/data-and-systems/macbis/tmsis/tmsis-blog/entry/47572",Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,78,CIP022,CIP.002.022,MSIS-IDENTIFICATION-NUM,MSIS Identification Number ,Not Applicable,Not Applicable,"For SSN States (i.e. SSN Indicator = 1), value must be equal to eligible individual's SSN",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,79,CIP022,CIP.002.022,MSIS-IDENTIFICATION-NUM,MSIS Identification Number ,Not Applicable,Not Applicable,"For Non-SSN States (i.e. SSN Indicator = 0), value must not be equal to eligible individual's SSN",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,80,CIP022,CIP.002.022,MSIS-IDENTIFICATION-NUM,MSIS Identification Number ,Not Applicable,Not Applicable,Value must be 20 characters or less,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,81,CIP022,CIP.002.022,MSIS-IDENTIFICATION-NUM,MSIS Identification Number ,Not Applicable,Not Applicable,"When Type of Claim not in (4, D, X, Z, U, V, Y, W), value must match MSIS Identification Number (ELG.021.251) and the Admission Date (CIP.002.094) must be between Enrollment Effective Date (ELG.021.253) and Enrollment End Date (ELG.021.254)",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,82,CIP022,CIP.002.022,MSIS-IDENTIFICATION-NUM,MSIS Identification Number ,Not Applicable,Not Applicable,"When Type of Claim (CIP.002.100) equals 4, D or X (lump sum payment) value must begin with an '&'",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,83,CIP023,CIP.002.023,CROSSOVER-INDICATOR,Crossover Indicator ,Conditional,An indicator specifying whether the claim is a crossover claim where a portion is paid by Medicare.,Value must be in Crossover Indicator List (VVL),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,84,CIP023,CIP.002.023,CROSSOVER-INDICATOR,Crossover Indicator ,Not Applicable,Not Applicable,"If Crossover Indicator value is ""1"", the associated Dual Eligible Code (ELG.005.085) value must be in ""01"", ""02"", ""04"", ""08"", ""09"", or ""10"" for the same time period (by date of service)",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,85,CIP023,CIP.002.023,CROSSOVER-INDICATOR,Crossover Indicator ,Not Applicable,Not Applicable,Value must be 1 character,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C1,86,CIP023,CIP.002.023,CROSSOVER-INDICATOR,Crossover Indicator ,Not Applicable,Not Applicable,Conditional,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C1,87,CIP023,CIP.002.023,CROSSOVER-INDICATOR,Crossover Indicator ,Not Applicable,Not Applicable,"If the TYPE-OF-CLAIM value is in [""1"", ""3"", ""A"", ""C""], then value is mandatory and must be reported.",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,88,CIP024,CIP.002.024,TYPE-OF-HOSPITAL,Type of Hospital ,Mandatory,This code denotes the type of hospital on the claim (servicing facility).,Value must be in Type of Hospital List (VVL),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,89,CIP024,CIP.002.024,TYPE-OF-HOSPITAL,Type of Hospital ,Not Applicable,Not Applicable,Value must be 2 characters,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,90,CIP024,CIP.002.024,TYPE-OF-HOSPITAL,Type of Hospital ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,91,CIP025,CIP.002.025,1115A-DEMONSTRATION-IND,1115A Demonstration Indicator ,Conditional,Indicates that the claim or encounter was covered under the authority of an 1115(A) demonstration. 1115(A) is a Center for Medicare and Medicaid Innovation demonstration.,Value must be in 1115A Demonstration Indicator List (VVL),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,92,CIP025,CIP.002.025,1115A-DEMONSTRATION-IND,1115A Demonstration Indicator ,Not Applicable,Not Applicable,Value must be 1 character,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,93,CIP025,CIP.002.025,1115A-DEMONSTRATION-IND,1115A Demonstration Indicator ,Not Applicable,Not Applicable,Conditional,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,94,CIP025,CIP.002.025,1115A-DEMONSTRATION-IND,1115A Demonstration Indicator ,Not Applicable,Not Applicable,"When value equals '0', is invalid or not populated, then the associated 1115A Demonstration Indicator (ELG.018.223) must equal '0', is invalid or not populated",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,95,CIP026,CIP.002.026,ADJUSTMENT-IND,Adjustment Indicator ,Mandatory,Indicates the type of adjustment record.,Value must be in Adjustment Indicator List (VVL),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,96,CIP026,CIP.002.026,ADJUSTMENT-IND,Adjustment Indicator ,Not Applicable,Not Applicable,"If associated Type of Claim  value is in [ 1, 3, 5, A, C, E, U, W, Y ], then value must be in [ 0, 1, 4 ]",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
C2,97,CIP026,CIP.002.026,ADJUSTMENT-IND,Adjustment Indicator ,Not Applicable,Not Applicable,"If associated Type of Claim value is '4, D, X', then value must be in [ 5, 6 ]",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,98,CIP026,CIP.002.026,ADJUSTMENT-IND,Adjustment Indicator ,Not Applicable,Not Applicable,Value must be 1 character,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,99,CIP026,CIP.002.026,ADJUSTMENT-IND,Adjustment Indicator ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,100,CIP027,CIP.002.027,ADJUSTMENT-REASON-CODE,Adjustment Reason Code ,Conditional,Claim adjustment reason codes communicate why a claim was paid differently than it was billed.  If the amount paid is different from the amount billed you need an adjustment reason code.,Value must be in Adjustment Reason Code List (VVL),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,101,CIP027,CIP.002.027,ADJUSTMENT-REASON-CODE,Adjustment Reason Code ,Not Applicable,Not Applicable,Value must be 3 characters or less,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,102,CIP027,CIP.002.027,ADJUSTMENT-REASON-CODE,Adjustment Reason Code ,Not Applicable,Not Applicable,Conditional,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,103,CIP027,CIP.002.027,ADJUSTMENT-REASON-CODE,Adjustment Reason Code ,Not Applicable,Not Applicable,"Value must not be populated when associated Adjustment Indicator equals ""0""",2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,104,CIP028,CIP.002.028,ADMISSION-TYPE,Admission Type ,Mandatory,The basic types of admission for Inpatient hospital stays and a code indicating the priority of this admission.,Value must be in Admission Type List (VVL),2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,105,CIP028,CIP.002.028,ADMISSION-TYPE,Admission Type ,Not Applicable,Not Applicable,Value must be 1 character,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,106,CIP028,CIP.002.028,ADMISSION-TYPE,Admission Type ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
A2,107,CIP029,CIP.002.029,DRG-DESCRIPTION,DRG Description ,Conditional,"Description of the associated state-specific DRG code. If using standard MS-DRG classification system, a DRG Description is not required.",Value must be 20 characters or less,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
X1,108,CIP029,CIP.002.029,DRG-DESCRIPTION,DRG Description ,Not Applicable,Not Applicable,Conditional,2/12/2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
