Source,Source File,Table Name,Column Name,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Percision,Comment,Valid Values,Logic,Column Order,Gap,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping 
EVV,EVV,T_EVV_VISIT_TASKS,CALLKEY,,"Call identifier in the Sandata system. If the task was entered on a specific call, this value will be included.",nvarchar,,,,,,,,,,50,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_CALLS,CALLLATITUDE,,"If using MVV, this field along with Call In Longitude will reflect the coordinates from which the worker/caregiver checked in to start the visit",numeric,,,,,,,,,,19,,13,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_CALLS,CALLLONGITUDE,,"If using MVV, this field along with Call In Latitude will reflect the coordinates from which the worker/caregiver checked in to start the visit",numeric,,,,,,,,,,20,,13,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_GENERAL,CALLOUTDATETIME,,"Date/Time stamp when the call-out/check-out occurred, starting the visit",date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_CALLS,CALLTIMEZONE,,Time zone where the call occurred,nvarchar,,,,,,,,,,64,,,,See Appendix 3,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_CALLS,CALLTYPE,,"The type of device used to create the event. Values: TELEPHONY, MOBILE, FVV, MANUAL, OTHER. Additional values for this field may be added.",nvarchar,,,,,,,,,,20,,,,"Telephony, Mobile, FVV, Manual, Other",,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_AUTH,CASEMANAGEREMAIL,,Email address of the case manager assigned to the client,nvarchar, xxx@yyy.com,,,,,,,,,10,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_AUTH,CASEMANAGERFIRSTNAME,,First Name of the case manager assigned to the client,nvarchar,,,,,,,,,,10,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_AUTH,CASEMANAGERLASTNAME,,Last Name of the case manager assigned to the client,nvarchar,,,,,,,,,,10,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_CHANGES,CHANGEDATETIME,,Time when the change to the visit was made,date,YYYY-MM-DD,,,,,,,,,,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_CHANGES,CHANGEID,,"The unique identifier of the change that is being sent. These can be used to denote the order in which changes were made to the visit, although they are not sequential.",nvarchar,,,,,,,,,,50,,,,See Appendix 9,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
